task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	a3/e6f3d2	1978805	annotate (5)	COMPLETED	0	2024-08-26 15:54:23.762	1m 55s	1m 51s	521.2%	1.1 GB	12.5 GB	38.7 GB	80.1 MB
4	09/db2005	1989969	annotate (2)	COMPLETED	0	2024-08-26 15:56:18.783	1m 49s	1m 45s	613.9%	676.4 MB	1.4 GB	44.4 GB	86.2 MB
15	15/51ed1b	2000230	annotate (6)	COMPLETED	0	2024-08-26 15:58:08.064	1m 37s	1m 34s	648.1%	963.7 MB	2.1 GB	37.8 GB	72.9 MB
17	25/ad2244	2009583	annotate (8)	COMPLETED	0	2024-08-26 15:59:45.114	1m 42s	1m 38s	625.3%	1 GB	12.5 GB	39.3 GB	81.2 MB
8	e2/610888	2019286	annotate (3)	COMPLETED	0	2024-08-26 16:01:27.050	1m 40s	1m 36s	644.7%	633.5 MB	12.5 GB	39.8 GB	76.1 MB
9	7d/957267	2027977	annotate (4)	COMPLETED	0	2024-08-26 16:03:07.012	1m 54s	1m 49s	577.4%	852.8 MB	2.1 GB	37 GB	74.1 MB
1	a9/b16754	2037881	annotate (1)	COMPLETED	0	2024-08-26 16:05:00.957	1m 45s	1m 40s	618.1%	543.9 MB	12.5 GB	40.6 GB	71.5 MB
16	09/ab9501	2047157	annotate (7)	COMPLETED	0	2024-08-26 16:06:45.614	1m 47s	1m 44s	635.3%	1.1 GB	12.5 GB	41.4 GB	76.9 MB
2	5f/629e84	2057383	dwgsim (1)	COMPLETED	0	2024-08-26 16:08:32.216	9.2s	2.1s	90.7%	10.6 MB	279.7 MB	4.2 MB	135.9 MB
11	8a/fa1b0b	2057683	dwgsim (7)	COMPLETED	0	2024-08-26 16:08:41.399	8.4s	2.1s	100.7%	10 MB	279.7 MB	4.4 MB	136.3 MB
7	39/8ed15c	2058035	dwgsim (5)	COMPLETED	0	2024-08-26 16:08:49.806	8.8s	2.3s	89.8%	8.9 MB	279.7 MB	4.2 MB	136 MB
3	3f/53d82d	2058347	dwgsim (2)	COMPLETED	0	2024-08-26 16:08:58.593	10.5s	2.2s	97.9%	9.1 MB	279.7 MB	4.4 MB	136.1 MB
10	5f/a38993	2058665	dwgsim (6)	COMPLETED	0	2024-08-26 16:09:09.097	8.5s	2.3s	87.1%	11.2 MB	279.7 MB	4.1 MB	136 MB
6	d9/3e950d	2059009	dwgsim (4)	COMPLETED	0	2024-08-26 16:09:17.568	7.3s	2.4s	85.9%	12.8 MB	279.7 MB	4.1 MB	136.4 MB
13	41/7338fb	2059271	dwgsim (8)	COMPLETED	0	2024-08-26 16:09:24.853	8.6s	2.5s	84.9%	9.1 MB	279.7 MB	4.2 MB	135.9 MB
5	24/849aec	2059619	dwgsim (3)	COMPLETED	0	2024-08-26 16:09:33.418	9.6s	2.2s	90.0%	12.3 MB	279.7 MB	4.2 MB	135.9 MB
18	2d/3f7cdd	2059964	annotate (9)	COMPLETED	0	2024-08-26 16:09:43.036	1m 51s	1m 47s	581.8%	521.4 MB	2.1 GB	38.6 GB	72.9 MB
20	b5/4726f7	2070586	annotate (11)	COMPLETED	0	2024-08-26 16:11:34.520	1m 49s	1m 46s	605.3%	784.8 MB	1.6 GB	37.8 GB	76.5 MB
19	62/4f8cb9	2079720	annotate (10)	COMPLETED	0	2024-08-26 16:13:23.919	1m 55s	1m 52s	601.8%	964.9 MB	2.1 GB	41.6 GB	83.2 MB
23	9c/5d55d1	2090432	annotate (14)	COMPLETED	0	2024-08-26 16:15:19.401	1m 42s	1m 37s	651.7%	917.9 MB	12.5 GB	40.1 GB	75.8 MB
31	e4/4ff189	2099649	dwgsim (14)	COMPLETED	0	2024-08-26 16:17:01.071	11.4s	2.4s	81.5%	9.3 MB	279.7 MB	4.3 MB	135.8 MB
35	81/dc1adc	2100004	annotate (18)	COMPLETED	0	2024-08-26 16:17:12.487	1m 52s	1m 46s	579.2%	987.9 MB	12.5 GB	37.2 GB	74.5 MB
21	5a/768a27	2109538	annotate (12)	COMPLETED	0	2024-08-26 16:19:04.416	1m 58s	1m 52s	585.1%	879.4 MB	12.5 GB	39 GB	80.9 MB
25	26/832816	2119762	annotate (16)	COMPLETED	0	2024-08-26 16:21:02.702	1m 46s	1m 41s	631.6%	807.7 MB	1.6 GB	41.4 GB	78.4 MB
24	f6/a6ec2b	2130024	annotate (15)	COMPLETED	0	2024-08-26 16:22:48.577	1m 45s	1m 41s	639.1%	769.3 MB	1.6 GB	43.4 GB	74.9 MB
38	f7/a9312e	2139924	annotate (21)	COMPLETED	0	2024-08-26 16:24:33.810	1m 36s	1m 32s	650.4%	812.4 MB	12.5 GB	37.5 GB	67.9 MB
22	f6/b75462	2149058	annotate (13)	COMPLETED	0	2024-08-26 16:26:10.090	1m 44s	1m 41s	654.7%	677.5 MB	12.5 GB	45.7 GB	77.5 MB
29	2e/7633c9	2158975	dwgsim (12)	COMPLETED	0	2024-08-26 16:27:54.434	9.3s	3s	71.7%	10.5 MB	279.7 MB	4.2 MB	135.8 MB
30	22/ff851a	2159321	dwgsim (13)	COMPLETED	0	2024-08-26 16:28:03.759	10s	2s	101.1%	6.8 MB	279.7 MB	4.5 MB	135.5 MB
28	6f/c6ac61	2159610	dwgsim (11)	COMPLETED	0	2024-08-26 16:28:13.790	10.5s	2.2s	97.2%	10.1 MB	279.7 MB	4.2 MB	135.9 MB
32	a0/d1b77b	2159998	dwgsim (15)	COMPLETED	0	2024-08-26 16:28:24.309	8.8s	2s	99.4%	8.3 MB	279.7 MB	4.3 MB	135.8 MB
14	95/388f49	2160288	dwgsim (9)	COMPLETED	0	2024-08-26 16:28:33.168	10.3s	2.2s	93.6%	8.2 MB	279.7 MB	4.2 MB	136.1 MB
27	f4/95b5a9	2160613	dwgsim (10)	COMPLETED	0	2024-08-26 16:28:43.577	8.4s	2.4s	86.9%	11.6 MB	279.7 MB	4.3 MB	136 MB
33	f3/6aa98d	2160947	dwgsim (16)	COMPLETED	0	2024-08-26 16:28:52.049	8.5s	2.5s	80.8%	8.3 MB	279.7 MB	4.3 MB	135.8 MB
26	3e/c68e8c	2161292	annotate (17)	COMPLETED	0	2024-08-26 16:29:00.543	1m 48s	1m 43s	575.8%	991.9 MB	2.1 GB	41.5 GB	72.3 MB
37	05/d48fa7	2170878	annotate (20)	COMPLETED	0	2024-08-26 16:30:48.761	1m 46s	1m 42s	596.7%	933 MB	12.5 GB	41.2 GB	74.9 MB
48	ed/d4c41d	2180714	dwgsim (21)	COMPLETED	0	2024-08-26 16:32:35.113	9.4s	2.1s	95.8%	8.5 MB	279.7 MB	4.1 MB	135.8 MB
36	34/2c07d7	2181005	annotate (19)	COMPLETED	0	2024-08-26 16:32:44.519	1m 46s	1m 42s	602.2%	845.5 MB	2.1 GB	42 GB	76.3 MB
34	ca/6d6e15	2190604	dwgsim (17)	COMPLETED	0	2024-08-26 16:34:30.604	9.5s	2.2s	95.1%	8.2 MB	279.7 MB	4.3 MB	135.4 MB
40	30/b41d47	2190979	annotate (22)	COMPLETED	0	2024-08-26 16:34:40.140	1m 39s	1m 34s	624.5%	733.2 MB	1.6 GB	37 GB	75.7 MB
41	ac/a5674d	2199664	annotate (23)	COMPLETED	0	2024-08-26 16:36:18.785	1m 48s	1m 45s	601.1%	874.7 MB	12.5 GB	41.7 GB	82.6 MB
42	8a/6ce69b	2210148	annotate (24)	COMPLETED	0	2024-08-26 16:38:06.971	1m 44s	1m 40s	627.3%	1021.3 MB	2.1 GB	40.7 GB	65.8 MB
43	40/634da6	2219500	annotate (25)	COMPLETED	0	2024-08-26 16:39:51.341	1m 45s	1m 42s	633.2%	888.8 MB	1.9 GB	40 GB	74 MB
45	bb/e15357	2228982	annotate (27)	COMPLETED	0	2024-08-26 16:41:36.586	1m 44s	1m 40s	646.4%	1 GB	2.1 GB	42.8 GB	74.4 MB
50	ec/bf2cca	2239267	dwgsim (23)	COMPLETED	0	2024-08-26 16:43:21.026	8.1s	2.1s	95.2%	12.7 MB	279.7 MB	4.3 MB	136.3 MB
49	8c/c35ccd	2239613	dwgsim (22)	COMPLETED	0	2024-08-26 16:43:29.153	9.7s	3.5s	60.0%	9.2 MB	279.7 MB	4.1 MB	135.9 MB
47	e7/fa481d	2239988	dwgsim (20)	COMPLETED	0	2024-08-26 16:43:38.879	11.1s	3.3s	62.4%	8.9 MB	279.7 MB	4.3 MB	135.4 MB
