Gene,Non-unique Gene name,Annotation,15608_247,21053_8147,11822_158,14410_846,15608_513,21127_2104,14913_283,21127_2150,24820_2209,15682_121,14412_245,21127_264,15608_324,15608_539,15682_350,15682_241,15608_212,15682_157,14412_13,15682_27,21053_8178,15608_533,31588_4131,15608_567,17428_844,21127_288,15682_177,14410_881,21127_2177,24820_2267
glnH_1,;glnH_1,hypothetical protein;ABC transporter glutamine-binding protein GlnH,NKIHGLOF_00279;NKIHGLOF_00278,CAIOAPPO_00692;CAIOAPPO_00691,EGGPCNEA_00447,BOGLFJDA_00135;BOGLFJDA_00134,JLENOMMB_00327;JLENOMMB_00326,ALHNJLOP_00341,KGLLIHJM_00909;KGLLIHJM_00910,OJAJHHAH_01037;OJAJHHAH_01038,OCGAAEPO_00395,GLNDJCAF_00739;GLNDJCAF_00738,ODFLGDBH_00839;ODFLGDBH_00838,APOOJODC_00323;APOOJODC_00322,FONPKMKP_00030;FONPKMKP_00031,OKOELMAF_01024;OKOELMAF_01023,PEGMINDJ_01432;PEGMINDJ_01431,BCHKDIOD_00115;BCHKDIOD_00114,LPFDPCGO_01269;LPFDPCGO_01270,BPKFELMP_00842;BPKFELMP_00843,OEDMFFKP_00110;OEDMFFKP_00111,BCNLJEOI_00375;BCNLJEOI_00374,GLONHLBP_00577;GLONHLBP_00576,FPEIOILE_00433;FPEIOILE_00432,PEHMELEN_01037;PEHMELEN_01036,NFCFPMIG_00116;NFCFPMIG_00115,ELMHKFIJ_01022;ELMHKFIJ_01023,GGJPJCAM_00790;GGJPJCAM_00789,JCMFBBHK_01769;JCMFBBHK_01770,FBLGIOPA_00516;FBLGIOPA_00515,IJNFIKKA_02007;IJNFIKKA_02006,NCOGIHLP_00524;NCOGIHLP_00523
group_1612,,hypothetical protein,NKIHGLOF_01532,CAIOAPPO_01567,EGGPCNEA_00763,BOGLFJDA_00243,JLENOMMB_01868,ALHNJLOP_00231,KGLLIHJM_01803,OJAJHHAH_01575,OCGAAEPO_02016,GLNDJCAF_01536,ODFLGDBH_01067,APOOJODC_01701,FONPKMKP_01320,OKOELMAF_01393,PEGMINDJ_00265,BCHKDIOD_00003,LPFDPCGO_01028,BPKFELMP_00783,OEDMFFKP_01997,BCNLJEOI_00263,GLONHLBP_00689,FPEIOILE_01417,PEHMELEN_00924,NFCFPMIG_00003,ELMHKFIJ_00384,GGJPJCAM_01893,JCMFBBHK_01264,FBLGIOPA_01970,IJNFIKKA_02066,NCOGIHLP_00787
tagU_2,tagU_2,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,NKIHGLOF_01529,CAIOAPPO_01564,EGGPCNEA_00760,BOGLFJDA_01225,JLENOMMB_01682,ALHNJLOP_01605,KGLLIHJM_01609,OJAJHHAH_01572,OCGAAEPO_00240,GLNDJCAF_01625,ODFLGDBH_01066,APOOJODC_01698,FONPKMKP_01317,OKOELMAF_01537,PEGMINDJ_00263,BCHKDIOD_01604,LPFDPCGO_01025,BPKFELMP_00780,OEDMFFKP_01980,BCNLJEOI_00011,GLONHLBP_02003,FPEIOILE_01554,PEHMELEN_02126,NFCFPMIG_02076,ELMHKFIJ_00381,GGJPJCAM_01890,JCMFBBHK_01261,FBLGIOPA_01796,IJNFIKKA_01704,NCOGIHLP_00790
cpsB,cpsB,Tyrosine-protein phosphatase CpsB,NKIHGLOF_01528,CAIOAPPO_01563,EGGPCNEA_00759,BOGLFJDA_01224,JLENOMMB_01683,ALHNJLOP_01604,KGLLIHJM_01610,OJAJHHAH_01571,OCGAAEPO_00241,GLNDJCAF_01624,ODFLGDBH_01065,APOOJODC_01697,FONPKMKP_01316,OKOELMAF_01538,PEGMINDJ_00262,BCHKDIOD_01605,LPFDPCGO_01024,BPKFELMP_00779,OEDMFFKP_01981,BCNLJEOI_00012,GLONHLBP_02002,FPEIOILE_01553,PEHMELEN_02127,NFCFPMIG_02077,ELMHKFIJ_00380,GGJPJCAM_01889,JCMFBBHK_01260,FBLGIOPA_01795,IJNFIKKA_01705,NCOGIHLP_00791
ywqC,ywqC,putative capsular polysaccharide biosynthesis protein YwqC,NKIHGLOF_01527,CAIOAPPO_01562,EGGPCNEA_00758,BOGLFJDA_01223,JLENOMMB_01684,ALHNJLOP_01603,KGLLIHJM_01611,OJAJHHAH_01570,OCGAAEPO_00242,GLNDJCAF_01623,ODFLGDBH_01064,APOOJODC_01696,FONPKMKP_01315,OKOELMAF_01539,PEGMINDJ_00261,BCHKDIOD_01606,LPFDPCGO_01023,BPKFELMP_00778,OEDMFFKP_01982,BCNLJEOI_00013,GLONHLBP_02001,FPEIOILE_01552,PEHMELEN_02128,NFCFPMIG_02078,ELMHKFIJ_00379,GGJPJCAM_01888,JCMFBBHK_01259,FBLGIOPA_01794,IJNFIKKA_01706,NCOGIHLP_00792
cpsD,cpsD,Tyrosine-protein kinase CpsD,NKIHGLOF_01526,CAIOAPPO_01561,EGGPCNEA_00757,BOGLFJDA_01222,JLENOMMB_01685,ALHNJLOP_01602,KGLLIHJM_01612,OJAJHHAH_01569,OCGAAEPO_00243,GLNDJCAF_01622,ODFLGDBH_01063,APOOJODC_01695,FONPKMKP_01314,OKOELMAF_01540,PEGMINDJ_00260,BCHKDIOD_01607,LPFDPCGO_01022,BPKFELMP_00777,OEDMFFKP_01983,BCNLJEOI_00014,GLONHLBP_02000,FPEIOILE_01551,PEHMELEN_02129,NFCFPMIG_02079,ELMHKFIJ_00378,GGJPJCAM_01887,JCMFBBHK_01258,FBLGIOPA_01793,IJNFIKKA_01707,NCOGIHLP_00793
group_1608,,hypothetical protein,NKIHGLOF_01525,CAIOAPPO_01560,EGGPCNEA_00756,BOGLFJDA_01221,JLENOMMB_01686,ALHNJLOP_01601,KGLLIHJM_01613,OJAJHHAH_01568,OCGAAEPO_00244,GLNDJCAF_01621,ODFLGDBH_01062,APOOJODC_01694,FONPKMKP_01313,OKOELMAF_01541,PEGMINDJ_00259,BCHKDIOD_01608,LPFDPCGO_01021,BPKFELMP_00776,OEDMFFKP_01984,BCNLJEOI_00015,GLONHLBP_01999,FPEIOILE_01550,PEHMELEN_02130,NFCFPMIG_02080,ELMHKFIJ_00377,GGJPJCAM_01886,JCMFBBHK_01257,FBLGIOPA_01792,IJNFIKKA_01708,NCOGIHLP_00794
gspA,gspA,General stress protein A,NKIHGLOF_01524,CAIOAPPO_01559,EGGPCNEA_00755,BOGLFJDA_01220,JLENOMMB_01687,ALHNJLOP_01600,KGLLIHJM_01614,OJAJHHAH_01567,OCGAAEPO_00245,GLNDJCAF_01620,ODFLGDBH_01061,APOOJODC_01693,FONPKMKP_01312,OKOELMAF_01542,PEGMINDJ_00258,BCHKDIOD_01609,LPFDPCGO_01020,BPKFELMP_00775,OEDMFFKP_01985,BCNLJEOI_00016,GLONHLBP_01998,FPEIOILE_01549,PEHMELEN_02131,NFCFPMIG_02081,ELMHKFIJ_00376,GGJPJCAM_01885,JCMFBBHK_01256,FBLGIOPA_01791,IJNFIKKA_01709,NCOGIHLP_00795
group_1594,,hypothetical protein,NKIHGLOF_01006,CAIOAPPO_00366,EGGPCNEA_00875,BOGLFJDA_01007,JLENOMMB_00824,ALHNJLOP_01349,KGLLIHJM_01073,OJAJHHAH_00780,OCGAAEPO_02060,GLNDJCAF_01010,ODFLGDBH_01114,APOOJODC_01056,FONPKMKP_00612,OKOELMAF_00015,PEGMINDJ_00508,BCHKDIOD_01264,LPFDPCGO_01065,BPKFELMP_00038,OEDMFFKP_00962,BCNLJEOI_00711,GLONHLBP_00895,FPEIOILE_00891,PEHMELEN_00398,NFCFPMIG_01092,ELMHKFIJ_01727,GGJPJCAM_01140,JCMFBBHK_00540,FBLGIOPA_00874,IJNFIKKA_01619,NCOGIHLP_02070
group_1575,,ISL3 family transposase IS1167;ISL3 family transposase ISSpn14,NKIHGLOF_00914,CAIOAPPO_01126,EGGPCNEA_00647,BOGLFJDA_02074;BOGLFJDA_02073,JLENOMMB_01746,ALHNJLOP_00890,KGLLIHJM_02075;KGLLIHJM_02076,OJAJHHAH_01388,OCGAAEPO_00910,GLNDJCAF_01761;GLNDJCAF_01762,ODFLGDBH_02090;ODFLGDBH_02089,APOOJODC_00527,FONPKMKP_00704,OKOELMAF_01642;OKOELMAF_01643,PEGMINDJ_00877,BCHKDIOD_01859;BCHKDIOD_01858,LPFDPCGO_00414,BPKFELMP_00328,OEDMFFKP_01285,BCNLJEOI_01688;BCNLJEOI_01687,GLONHLBP_01837;GLONHLBP_01838,FPEIOILE_01636;FPEIOILE_01635,PEHMELEN_00543;PEHMELEN_00544,NFCFPMIG_02016;NFCFPMIG_02017,ELMHKFIJ_01226,GGJPJCAM_00992,26_refound_463_pseudo,FBLGIOPA_02107;FBLGIOPA_02106,IJNFIKKA_00188,NCOGIHLP_01241
